Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
s8	371	1507787	27038	1357	0.09000	1.00000	0.00000	0.00000	0.99955	0.00022	0.00001	0.00090	0.00090	0.00002	0.99910	0.00090	0.00002	0.00045	0.00022	0.00001	0.99955	0.00022	0.00001	0.00090	0.00090	0.00002	0.00000	0.00000	0.00000
s7	2694	4900781	45781	7422	0.15145	1.91145	2.11732	0.00066	0.99956	0.00016	0.00001	0.00039	0.00021	0.00001	0.99961	0.00021	0.00001	0.00056	0.00023	0.00001	0.99944	0.00023	0.00001	0.00069	0.00037	0.00001	0.00056	0.00058	0.00066
s10	1543	3489153	39726	3977	0.11398	1.30910	0.21356	0.00025	0.99958	0.00017	0.00001	0.00058	0.00043	0.00001	0.99942	0.00043	0.00001	0.00049	0.00022	0.00001	0.99951	0.00022	0.00001	0.00073	0.00050	0.00001	0.00022	0.00027	0.00025
s13	1984	3111401	38188	2825	0.09080	1.00000	0.00000	0.00000	0.99955	0.00023	0.00001	0.00091	0.00091	0.00002	0.99909	0.00091	0.00002	0.00045	0.00023	0.00001	0.99955	0.00023	0.00001	0.00091	0.00091	0.00002	0.00000	0.00000	0.00000
s9	854	1950026	32676	2073	0.10631	1.00000	0.00000	0.00000	0.99947	0.00027	0.00001	0.00106	0.00106	0.00002	0.99894	0.00106	0.00002	0.00053	0.00027	0.00001	0.99947	0.00027	0.00001	0.00106	0.00106	0.00002	0.00000	0.00000	0.00000
s11	575	1593505	27302	1760	0.11045	1.00000	0.00000	0.00000	0.99945	0.00028	0.00001	0.00110	0.00110	0.00003	0.99890	0.00110	0.00003	0.00055	0.00028	0.00001	0.99945	0.00028	0.00001	0.00110	0.00110	0.00003	0.00000	0.00000	0.00000
s6	331	1344841	24309	1332	0.09905	1.00000	0.00000	0.00000	0.99950	0.00025	0.00001	0.00099	0.00099	0.00003	0.99901	0.00099	0.00003	0.00050	0.00025	0.00001	0.99950	0.00025	0.00001	0.00099	0.00099	0.00003	0.00000	0.00000	0.00000
s1	3117	4917515	49423	5718	0.11628	1.63290	0.74273	0.00039	0.99960	0.00016	0.00001	0.00050	0.00035	0.00001	0.99950	0.00035	0.00001	0.00048	0.00021	0.00001	0.99952	0.00021	0.00001	0.00065	0.00041	0.00001	0.00024	0.00034	0.00039
s5	967	2370406	36940	3373	0.14230	1.34870	0.22711	0.00031	0.99944	0.00024	0.00001	0.00085	0.00070	0.00002	0.99915	0.00070	0.00002	0.00064	0.00029	0.00001	0.99936	0.00029	0.00001	0.00101	0.00078	0.00002	0.00023	0.00029	0.00031
s3	800	2057096	34172	2142	0.10413	1.00000	0.00000	0.00000	0.99948	0.00026	0.00001	0.00104	0.00104	0.00002	0.99896	0.00104	0.00002	0.00052	0.00026	0.00001	0.99948	0.00026	0.00001	0.00104	0.00104	0.00002	0.00000	0.00000	0.00000
s12	399	1653198	22529	1190	0.07198	1.00000	0.00000	0.00000	0.99964	0.00018	0.00001	0.00072	0.00072	0.00002	0.99928	0.00072	0.00002	0.00036	0.00018	0.00001	0.99964	0.00018	0.00001	0.00072	0.00072	0.00002	0.00000	0.00000	0.00000
s2	775	1713725	30084	1849	0.10789	1.00000	0.00000	0.00000	0.99946	0.00027	0.00001	0.00108	0.00108	0.00003	0.99892	0.00108	0.00003	0.00054	0.00027	0.00001	0.99946	0.00027	0.00001	0.00108	0.00108	0.00003	0.00000	0.00000	0.00000
s4	914	2114192	33723	3795	0.17950	1.55976	0.24643	0.00034	0.99936	0.00025	0.00001	0.00086	0.00060	0.00002	0.99914	0.00060	0.00002	0.00077	0.00033	0.00001	0.99923	0.00033	0.00001	0.00108	0.00068	0.00002	0.00033	0.00047	0.00034
j12	577	2677679	39534	3333	0.12447	1.51306	0.24983	0.00031	0.99956	0.00018	0.00001	0.00065	0.00047	0.00001	0.99935	0.00047	0.00001	0.00053	0.00023	0.00001	0.99947	0.00023	0.00001	0.00076	0.00049	0.00001	0.00016	0.00028	0.00031
j11	648	3151148	41611	3626	0.11507	1.35574	0.22919	0.00027	0.99958	0.00017	0.00001	0.00063	0.00048	0.00001	0.99937	0.00048	0.00001	0.00050	0.00022	0.00001	0.99950	0.00022	0.00001	0.00074	0.00051	0.00001	0.00016	0.00024	0.00027
j19	333	2017299	29198	1438	0.07128	1.00000	0.00000	0.00000	0.99964	0.00018	0.00001	0.00071	0.00071	0.00002	0.99929	0.00071	0.00002	0.00036	0.00018	0.00001	0.99964	0.00018	0.00001	0.00071	0.00071	0.00002	0.00000	0.00000	0.00000
j22	1028	4177724	43888	2559	0.06125	1.00000	0.00000	0.00000	0.99969	0.00015	0.00001	0.00061	0.00061	0.00001	0.99939	0.00061	0.00001	0.00031	0.00015	0.00001	0.99969	0.00015	0.00001	0.00061	0.00061	0.00001	0.00000	0.00000	0.00000
j13	1081	4138433	45376	4810	0.11623	1.38433	0.23662	0.00024	0.99957	0.00017	0.00001	0.00058	0.00042	0.00001	0.99942	0.00042	0.00001	0.00050	0.00022	0.00001	0.99950	0.00022	0.00001	0.00071	0.00047	0.00001	0.00020	0.00031	0.00024
j21	293	1712362	27359	1194	0.06973	1.00000	0.00000	0.00000	0.99965	0.00017	0.00001	0.00070	0.00070	0.00002	0.99930	0.00070	0.00002	0.00035	0.00017	0.00001	0.99965	0.00017	0.00001	0.00070	0.00070	0.00002	0.00000	0.00000	0.00000
j17	548	2882342	42995	2541	0.08816	1.00000	0.00000	0.00000	0.99956	0.00022	0.00001	0.00088	0.00088	0.00002	0.99912	0.00088	0.00002	0.00044	0.00022	0.00001	0.99956	0.00022	0.00001	0.00088	0.00088	0.00002	0.00000	0.00000	0.00000
j18	397	2339766	38556	2044	0.08736	1.00000	0.00000	0.00000	0.99956	0.00022	0.00001	0.00087	0.00087	0.00002	0.99913	0.00087	0.00002	0.00044	0.00022	0.00001	0.99956	0.00022	0.00001	0.00087	0.00087	0.00002	0.00000	0.00000	0.00000
j14	904	3177011	45881	5037	0.15855	1.58233	0.24322	0.00028	0.99943	0.00023	0.00001	0.00078	0.00056	0.00001	0.99922	0.00056	0.00001	0.00068	0.00030	0.00001	0.99932	0.00030	0.00001	0.00096	0.00062	0.00001	0.00027	0.00041	0.00028
j4	400	2384097	38053	3282	0.13766	1.40979	0.24186	0.00032	0.99947	0.00023	0.00001	0.00078	0.00062	0.00002	0.99922	0.00062	0.00002	0.00061	0.00028	0.00001	0.99939	0.00028	0.00001	0.00093	0.00069	0.00002	0.00023	0.00031	0.00032
j9	735	2949928	44018	5287	0.17922	1.90687	0.69680	0.00049	0.99940	0.00023	0.00001	0.00071	0.00045	0.00001	0.99929	0.00045	0.00001	0.00073	0.00031	0.00001	0.99927	0.00031	0.00001	0.00096	0.00057	0.00001	0.00040	0.00051	0.00049
j5	658	2848067	43585	5189	0.18219	1.90127	0.78566	0.00053	0.99940	0.00023	0.00001	0.00075	0.00048	0.00001	0.99925	0.00048	0.00001	0.00074	0.00031	0.00001	0.99926	0.00031	0.00001	0.00099	0.00060	0.00001	0.00039	0.00049	0.00053
j2	1024	3640452	44703	4714	0.12949	1.44592	0.24707	0.00026	0.99954	0.00019	0.00001	0.00065	0.00046	0.00001	0.99935	0.00046	0.00001	0.00056	0.00024	0.00001	0.99944	0.00024	0.00001	0.00078	0.00050	0.00001	0.00020	0.00032	0.00026
j3	399	2463679	37713	2043	0.08292	1.00000	0.00000	0.00000	0.99959	0.00021	0.00001	0.00083	0.00083	0.00002	0.99917	0.00083	0.00002	0.00041	0.00021	0.00001	0.99959	0.00021	0.00001	0.00083	0.00083	0.00002	0.00000	0.00000	0.00000
j6	240	1796949	29913	1624	0.09038	1.00000	0.00000	0.00000	0.99955	0.00023	0.00001	0.00090	0.00090	0.00002	0.99910	0.00090	0.00002	0.00045	0.00023	0.00001	0.99955	0.00023	0.00001	0.00090	0.00090	0.00002	0.00000	0.00000	0.00000
j15	464	2520918	39754	4083	0.16196	2.09411	0.82755	0.00057	0.99946	0.00021	0.00001	0.00064	0.00040	0.00001	0.99936	0.00040	0.00001	0.00066	0.00028	0.00001	0.99934	0.00028	0.00001	0.00085	0.00049	0.00001	0.00034	0.00048	0.00057
j16	241	2077535	34942	2998	0.14431	2.00773	0.81375	0.00063	0.99952	0.00018	0.00001	0.00058	0.00038	0.00001	0.99942	0.00038	0.00001	0.00059	0.00025	0.00001	0.99941	0.00025	0.00001	0.00077	0.00045	0.00001	0.00031	0.00042	0.00063
j20	194	1746014	30979	1133	0.06489	1.00000	0.00000	0.00000	0.99968	0.00016	0.00001	0.00065	0.00065	0.00002	0.99935	0.00065	0.00002	0.00032	0.00016	0.00001	0.99968	0.00016	0.00001	0.00065	0.00065	0.00002	0.00000	0.00000	0.00000
j7	619	3035953	44141	4978	0.16397	2.04147	0.83085	0.00052	0.99947	0.00020	0.00001	0.00061	0.00037	0.00001	0.99939	0.00037	0.00001	0.00066	0.00028	0.00001	0.99934	0.00028	0.00001	0.00084	0.00047	0.00001	0.00039	0.00051	0.00052
j8	722	3327055	46709	5526	0.16609	2.06991	0.83133	0.00050	0.99946	0.00021	0.00001	0.00060	0.00036	0.00001	0.99940	0.00036	0.00001	0.00067	0.00028	0.00001	0.99933	0.00028	0.00001	0.00086	0.00048	0.00001	0.00044	0.00054	0.00050
j10	670	2683564	40157	4130	0.15390	1.52424	0.24941	0.00030	0.99945	0.00022	0.00001	0.00078	0.00056	0.00001	0.99922	0.00056	0.00001	0.00066	0.00029	0.00001	0.99934	0.00029	0.00001	0.00093	0.00060	0.00001	0.00022	0.00036	0.00030
j1	813	2420809	37645	5313	0.21947	2.79216	3.01592	0.00112	0.99938	0.00022	0.00001	0.00062	0.00031	0.00001	0.99938	0.00031	0.00001	0.00080	0.00032	0.00001	0.99920	0.00032	0.00001	0.00096	0.00049	0.00001	0.00066	0.00070	0.00112
