ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
ZJlo012,ZJlo012,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Kikai,Japan; Kikai,28.317,129.9401
ZJlo015,ZJlo015,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Amami,Japan; Amami,28.3192,129.2765
ZJlo016,ZJlo016,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Miyakojima,Japan; Miyakojima,24.7916,125.3302
ZJlo017,ZJlo017,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Iriomote,Japan; Iriomote,24.3301,123.8188
ZJlo021,ZJlo021,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Tokunoshima,Japan; Tokunoshima,27.7904,128.9668
ZJlo022,ZJlo022,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Tokunoshima,Japan; Tokunoshima,27.7904,128.9668
ZJlo024,ZJlo024,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Yonaguni,Japan; Yonaguni,24.468,123.0045
ZJlo031,ZJlo031,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Kumejima,Japan; Kumejima,26.3504,126.7712
ZJlo045,ZJlo045,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Amami,Japan; Amami,28.3192,129.2765
ZJlo046,ZJlo046,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Miyakojima,Japan; Miyakojima,24.8218,125.3137
ZJlo050,ZJlo050,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Okinoerabu,Japan; Okinoerabu,27.5737,128.5737
ZJlo052,ZJlo052,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Okinoerabu,Japan; Okinoerabu,27.5737,128.5737
ZJlo055,ZJlo055,,National Museum of Science and Nature,Zosterops,japonicus,loochooensis,Kikai,Japan; Kikai,28.317,129.9401
ZJja001,ZJja001,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Geoje,Korea; Geoje,34.8806,128.6211
ZJja002,ZJja002,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Geoje,Korea; Geoje,34.8806,128.6211
ZJja003,ZJja003,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Jeju,Korea; Jeju,33.489,126.4983
ZJja004,ZJja004,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Jeju,Korea; Jeju,33.489,126.4983
ZJja005,ZJja005,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Jeju,Korea; Jeju,33.489,126.4983
ZJja009,ZJja009,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Heuksando,Korea; Heuksando,34.6707,125.4196
ZJja010,ZJja010,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Heuksando,Korea; Heuksando,34.6707,125.4196
ZJja012,ZJja012,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Honshu,Japan; Honshu,36.0835,140.0764
ZJja013,ZJja013,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Honshu,Japan; Honshu,36.0835,140.0764
ZJja014,ZJja014,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Honshu,Japan; Honshu,35.9086,139.6248
ZJja016,ZJja016,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Shikoku,Japan; Shikoku,34.3708,133.9198
ZJja030,ZJja030,,National Museum of Science and Nature,Zosterops,japonicus,japonicus,Heuksando,Korea; Heuksando,34.6707,125.4196
