Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ZJsi002	372	1507788	27032	1351	0.08960	1.00000	0.00000	0.00000	0.99955	0.00022	0.00001	0.00090	0.00090	0.00002	0.99910	0.00090	0.00002	0.00045	0.00022	0.00001	0.99955	0.00022	0.00001	0.00090	0.00090	0.00002	0.00000	0.00000	0.00000
ZJsi017	355	1640374	23222	1000	0.06096	1.00000	0.00000	0.00000	0.99970	0.00015	0.00001	0.00061	0.00061	0.00002	0.99939	0.00061	0.00002	0.00030	0.00015	0.00001	0.99970	0.00015	0.00001	0.00061	0.00061	0.00002	0.00000	0.00000	0.00000
ZJsi032	373	1661910	22254	1207	0.07263	1.00000	0.00000	0.00000	0.99964	0.00018	0.00001	0.00073	0.00073	0.00002	0.99927	0.00073	0.00002	0.00036	0.00018	0.00001	0.99964	0.00018	0.00001	0.00073	0.00073	0.00002	0.00000	0.00000	0.00000
ZJsi023	1179	3019686	37350	2301	0.07620	1.00000	0.00000	0.00000	0.99962	0.00019	0.00001	0.00076	0.00076	0.00002	0.99924	0.00076	0.00002	0.00038	0.00019	0.00001	0.99962	0.00019	0.00001	0.00076	0.00076	0.00002	0.00000	0.00000	0.00000
ZJsi024	356	1547968	22886	1037	0.06699	1.00000	0.00000	0.00000	0.99967	0.00017	0.00001	0.00067	0.00067	0.00002	0.99933	0.00067	0.00002	0.00033	0.00017	0.00001	0.99967	0.00017	0.00001	0.00067	0.00067	0.00002	0.00000	0.00000	0.00000
ZJsi028	539	1834501	28675	1532	0.08351	1.00000	0.00000	0.00000	0.99958	0.00021	0.00001	0.00084	0.00083	0.00002	0.99916	0.00083	0.00002	0.00042	0.00021	0.00001	0.99958	0.00021	0.00001	0.00084	0.00083	0.00002	0.00000	0.00000	0.00000
ZJsi029	1068	2898757	35936	2211	0.07627	1.00000	0.00000	0.00000	0.99962	0.00019	0.00001	0.00076	0.00076	0.00002	0.99924	0.00076	0.00002	0.00038	0.00019	0.00001	0.99962	0.00019	0.00001	0.00076	0.00076	0.00002	0.00000	0.00000	0.00000
ZJsi031	267	1332062	19067	664	0.04985	1.00000	0.00000	0.00000	0.99975	0.00012	0.00001	0.00050	0.00050	0.00002	0.99950	0.00050	0.00002	0.00025	0.00012	0.00001	0.99975	0.00012	0.00001	0.00050	0.00050	0.00002	0.00000	0.00000	0.00000
ZPxx001	2001	3111402	38181	2818	0.09057	1.00000	0.00000	0.00000	0.99955	0.00023	0.00001	0.00091	0.00090	0.00002	0.99909	0.00090	0.00002	0.00045	0.00023	0.00001	0.99955	0.00023	0.00001	0.00091	0.00090	0.00002	0.00000	0.00000	0.00000
Zsim23588	864	1950027	32671	2068	0.10605	1.00000	0.00000	0.00000	0.99947	0.00026	0.00001	0.00106	0.00106	0.00002	0.99894	0.00106	0.00002	0.00053	0.00026	0.00001	0.99947	0.00026	0.00001	0.00106	0.00106	0.00002	0.00000	0.00000	0.00000
Zsim28142	575	1593505	27295	1753	0.11001	1.00000	0.00000	0.00000	0.99945	0.00027	0.00001	0.00110	0.00110	0.00003	0.99890	0.00110	0.00003	0.00055	0.00027	0.00001	0.99945	0.00027	0.00001	0.00110	0.00110	0.00003	0.00000	0.00000	0.00000
ZjaDOT-5235	333	1344842	24304	1327	0.09867	1.00000	0.00000	0.00000	0.99951	0.00025	0.00001	0.00099	0.00099	0.00003	0.99901	0.00099	0.00003	0.00049	0.00025	0.00001	0.99951	0.00025	0.00001	0.00099	0.00099	0.00003	0.00000	0.00000	0.00000
Z_LA_122866_2	1361	3067013	42245	2277	0.07424	1.00000	0.00000	0.00000	0.99963	0.00019	0.00001	0.00074	0.00074	0.00002	0.99926	0.00074	0.00002	0.00037	0.00019	0.00001	0.99963	0.00019	0.00001	0.00074	0.00074	0.00002	0.00000	0.00000	0.00000
Z_LA_122577_2	795	2176851	29732	1596	0.07332	1.00000	0.00000	0.00000	0.99963	0.00018	0.00001	0.00073	0.00073	0.00002	0.99927	0.00073	0.00002	0.00037	0.00018	0.00001	0.99963	0.00018	0.00001	0.00073	0.00073	0.00002	0.00000	0.00000	0.00000
Z_LA_122188_2	661	2785936	33635	1726	0.06195	1.00000	0.00000	0.00000	0.99969	0.00015	0.00001	0.00062	0.00062	0.00001	0.99938	0.00062	0.00001	0.00031	0.00015	0.00001	0.99969	0.00015	0.00001	0.00062	0.00062	0.00001	0.00000	0.00000	0.00000
Zsim13809	150	921993	16667	668	0.07245	1.00000	0.00000	0.00000	0.99964	0.00018	0.00001	0.00072	0.00072	0.00003	0.99928	0.00072	0.00003	0.00036	0.00018	0.00001	0.99964	0.00018	0.00001	0.00072	0.00072	0.00003	0.00000	0.00000	0.00000
