ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
ZJlo002,ZJlo002,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Chichijima,,,
ZJlo006,ZJlo006,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Iriomote,,,
ZJlo010,ZJlo010,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Ishigaki,,,
ZJlo012,ZJlo012,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Kikai,,,
ZJlo015,ZJlo015,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Amami,,,
ZJlo016,ZJlo016,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Miyakojima,,,
ZJlo017,ZJlo017,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Iriomote,,,
ZJlo021,ZJlo021,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Tokunoshima,,,
ZJlo022,ZJlo022,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Tokunoshima,,,
ZJlo024,ZJlo024,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Yonaguni,,,
ZJlo025,ZJlo025,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Yonaguni,,,
ZJlo031,ZJlo031,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Kumejima,,,
ZJlo045,ZJlo045,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Amami,,,
ZJlo046,ZJlo046,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Miyakojima,,,
ZJlo050,ZJlo050,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Okinoerabu,,,
ZJlo052,ZJlo052,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Okinoerabu,,,
ZJlo055,ZJlo055,,Cincinnati Museum,Zosterops,japonicus,loochooensis,Kikai,,,
ZJja001,ZJja001,,Cincinnati Museum,Zosterops,japonicus,japonicus,Geoje,,,
ZJja002,ZJja002,,Cincinnati Museum,Zosterops,japonicus,japonicus,Geoje,,,
ZJja003,ZJja003,,Cincinnati Museum,Zosterops,japonicus,japonicus,Jeju,,,
ZJja004,ZJja004,,Cincinnati Museum,Zosterops,japonicus,japonicus,Jeju,,,
ZJja005,ZJja005,,Cincinnati Museum,Zosterops,japonicus,japonicus,Jeju,,,
ZJja009,ZJja009,,Cincinnati Museum,Zosterops,japonicus,japonicus,Heuksando,,,
ZJja010,ZJja010,,Cincinnati Museum,Zosterops,japonicus,japonicus,Heuksando,,,
ZJja011,ZJja011,,Cincinnati Museum,Zosterops,japonicus,japonicus,Heuksando,,,
ZJja012,ZJja012,,Cincinnati Museum,Zosterops,japonicus,japonicus,Honshu,,,
ZJja013,ZJja013,,Cincinnati Museum,Zosterops,japonicus,japonicus,Honshu,,,
ZJja014,ZJja014,,Cincinnati Museum,Zosterops,japonicus,japonicus,Honshu,,,
ZJja016,ZJja016,,Cincinnati Museum,Zosterops,japonicus,japonicus,Shikoku,,,
ZJja030,ZJja030,,Cincinnati Museum,Zosterops,japonicus,japonicus,Heuksando,,,
ZJal003,ZJal003,,Cincinnati Museum,Zosterops,japonicus,alani,Hahajima,,,
Zjal004,Zjal004,,Cincinnati Museum,Zosterops,japonicus,alani,Hahajima,,,
ZJal005,ZJal005,,Cincinnati Museum,Zosterops,japonicus,alani,Hahajima,,,
ZJal010,ZJal010,,Cincinnati Museum,Zosterops,japonicus,alani,Anejima,,,
ZJal011,ZJal011,,Cincinnati Museum,Zosterops,japonicus,alani,Anejima,,,
ZJal012,ZJal012,,Cincinnati Museum,Zosterops,japonicus,alani,Anejima,,,
ZJal016,ZJal016,,Cincinnati Museum,Zosterops,japonicus,alani,Iwojima,,,
ZJal017,ZJal017,,Cincinnati Museum,Zosterops,japonicus,alani,Iwojima,,,
ZJal020,ZJal020,,Cincinnati Museum,Zosterops,japonicus,alani,Iwojima,,,
ZJst007,ZJst007,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Kozushima,,,
ZJst009,ZJst009,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Kozushima,,,
ZJst010,ZJst010,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Kozushima,,,
ZJst012,ZJst012,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Miyakejima,,,
ZJst014,ZJst014,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Miyakejima,,,
ZJst015,ZJst015,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Miyakejima,,,
ZJst019,ZJst019,,Cincinnati Museum,Zosterops,japonicus,stejnegeri,Niijima,,,
ZJin001,ZJin001,,Cincinnati Museum,Zosterops,japonicus,insularis,Kagoshima,,,
ZJin003,ZJin003,,Cincinnati Museum,Zosterops,japonicus,insularis,Kagoshima,,,
ZJsi002,ZJsi002,,Cincinnati Museum,Zosterops,simplex,,Taiwan,,,
ZJsi003,ZJsi003,,Cincinnati Museum,Zosterops,simplex,,Taiwan,,,
ZJsi017,ZJsi017,,Cincinnati Museum,,,,,,,
ZJsi032,ZJsi032,,Cincinnati Museum,,,,,,,
ZJsi020,ZJsi020,,Cincinnati Museum,Zosterops,simplex,,Macao,,,
ZJsi021,ZJsi021,,Cincinnati Museum,Zosterops,simplex,,Macao,,,
ZJsi022,ZJsi022,,Cincinnati Museum,Zosterops,simplex,,Guangdong,,,
ZJsi023,ZJsi023,,Cincinnati Museum,Zosterops,simplex,,Guangdong,,,
ZJsi024,ZJsi024,,Cincinnati Museum,Zosterops,simplex,,Guangdong,,,
ZJsi025,ZJsi025,,Cincinnati Museum,Zosterops,simplex,,Guangdong,,,
ZJsi027,ZJsi027,,Cincinnati Museum,Zosterops,simplex,,Guangxi,,,
ZJsi028,ZJsi028,,Cincinnati Museum,Zosterops,simplex,,Guangxi,,,
ZJsi029,ZJsi029,,Cincinnati Museum,Zosterops,simplex,,Guangxi,,,
